event_number,start_time,end_time,duration_hours,max_customers_out,total_customers_out,num_outages,num_restores,customer_hours,counties_affected,max_sknt,min_sknt,avg_sknt,max_gust,min_gust,avg_gust,max_tmpf,min_tmpf,avg_tmpf,total_p01i,max_p01i,avg_p01i
215,2015-01-26 22:45:00,2015-01-27 01:45:00,3.0,4386,4394,7,3,13040.75,Los Angeles,20.0,0.0,7.8076925,25.0,0.0,3.1057692,74.0,50.0,62.837692,1.2446,0.07,0.005983654
217,2015-01-27 08:30:00,2015-01-27 09:45:00,1.25,5938,5959,3,2,7384.75,Los Angeles,8.0,0.0,2.40625,0.0,0.0,0.0,60.8,45.0,54.5625,0.18079999,0.05,0.0018833332
219,2015-01-27 16:30:00,2015-01-27 21:45:00,5.25,6914,7310,11,10,31349.5,Los Angeles,11.0,0.0,3.0767045,0.0,0.0,0.0,72.0,45.0,62.97568,0.061599996,0.01,0.000175
221,2015-01-28 17:00:00,2015-01-28 21:45:00,4.75,7683,7943,10,10,23384.75,Los Angeles,19.0,0.0,4.66875,26.0,0.0,1.271875,75.2,44.0,64.70725,0.0,0.0,0.0
223,2015-01-29 18:30:00,2015-01-29 19:45:00,1.25,3969,3979,3,3,4880.25,Los Angeles,16.0,0.0,2.8854167,18.0,0.0,0.375,75.2,52.0,66.80417,0.0,0.0,0.0
225,2015-01-30 03:45:00,2015-01-30 05:30:00,1.75,4139,4140,2,5,6968.0,Los Angeles,7.0,0.0,2.6875,0.0,0.0,0.0,68.0,52.0,62.524376,0.0014,1e-04,1.09375e-05
227,2015-01-30 07:30:00,2015-01-30 17:30:00,10.0,8174,10327,16,14,62742.0,Los Angeles,13.0,0.0,3.0625,17.0,0.0,0.103658535,67.0,45.0,59.278934,0.63839996,0.02,0.0009731707
229,2015-02-03 00:15:00,2015-02-03 00:45:00,0.5,4426,4426,1,2,2201.75,Los Angeles,15.0,0.0,5.6875,19.0,0.0,0.7916667,77.0,61.34,68.550415,0.0,0.0,0.0
231,2015-02-03 16:30:00,2015-02-03 17:30:00,1.0,4529,4529,4,1,4207.0,Los Angeles,14.0,0.0,1.9375,0.0,0.0,0.0,71.0,43.0,56.784496,0.0,0.0,0.0
233,2015-02-04 18:45:00,2015-02-04 19:45:00,1.0,4552,4559,2,3,4252.5,Los Angeles,10.0,0.0,2.9625,0.0,0.0,0.0,72.0,58.0,64.65725,0.0,0.0,0.0
